$playersound	megaman	male	*death		MEGADEAT
$playersound	megaman	male	*xdeath		MEGADEAT
$playersound	megaman	male	*gibbed		MEGADEAT
$playersound	megaman	male	*pain100	MEGAPAIN
$playersound	megaman	male	*pain75		MEGAPAIN
$playersound	megaman	male	*pain50		MEGAPAIN
$playersound	megaman	male	*pain25		MEGAPAIN
$playersound	megaman	male	*grunt		LAND
$playersound	megaman	male	*land		LAND
$playersound	megaman	male	*jump		dsnone
$playersound	megaman	male	*fist		dsnone
$playersound	megaman	male	*usefail	LAND
$playersound	megaman	male	*taunt		dsnone

weapon/weaponup	WEAPONUP
weapon/mbuster	BUSTER
weapon/shadow	SHADOWBL
weapon/napalm	NAPALMB
weapon/deflect	DEFLECT
weapon/heat1	AHEAT1
weapon/heat2	AHEAT2
weapon/heat3	AHEAT3
weapon/atomicfire	AHEAT4
weapon/topspin	TOPSPIN
weapon/magnetmissile	MAGNET
weapon/gemini GEMINI
weapon/superarmhit	SUPERARM
weapon/superarmuse	COIL
weapon/iceslasher	ICESLASH
weapon/thunderbeam THUNDER
weapon/metalblade	METALB
weapon/drillexplode	DRILLBOM
weapon/drillfly	DRILLFLY
weapon/hyperbomb	HYPERB
weapon/airshooter	AIRSHOT
weapon/leafshield	WOODSH
weapon/firestorm	FIRESTOR
weapon/crashland	CRASHL
weapon/crashexplode	CRASHX
weapon/chargekick	CHARGEK
weapon/rollingcutter	RCUTTER
weapon/sparkshock	SSHOCK
weapon/ringboomerang	RINGB
weapon/gyroattack	GYROAT
weapon/powerstone	POWERST
weapon/pharaoh1	PHSHOT1
weapon/pharaoh2	PHSHOT2
weapon/timestopper	TIMEST
weapon/waterwave	WATERW
weapon/pshot	PROTOS
weapon/pcharge	PROTCH
weapon/rainflush	RAINF
weapon/sakugarne	SAKUC
weapon/crackerthrow		CRKTHRW
weapon/crackerexplode	CRKEXP
weapon/screwcrusher	SCREWC
weapon/gravityhold GRAVH
weapon/flashstopper	FLASHS
weapon/centaurflash	ACENTF
weapon/mirroractivate MIRRORS
weapon/mirrordeflect	MIRRORD
weapon/mirrordeflect2	MIRRORD2
weapon/mirrorabsorb MIRRORD3
weapon/crackermine BALMIN

weapon/freezecracker	RINGB
weapon/freezecrackerhit	REFLECT
weapon/noisecrush1	CN1
weapon/noisecrush2	GRAVH
weapon/noisecrushcharge	CHARGEL
weapon/coilstart	CHARGE2
weapon/coilcharge	CHARGEL
weapon/coilbounce1	coil1
weapon/coilbounce2	coil2
weapon/coilexplode	explo
weapon/coilthrow	MAGNET
weapon/wrapfire	dwrap
